OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
10337,At,At,gszFt,gszFt,,,,,,,,,,,g,s,z,F,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,4801.624104158174305,842970.086215501418337
10338,unknown,R/Cv,R/dsmCv,R,/,dsmCv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,7235.509503720921202,1202062.743390523828566
10339,Mv/Cv,Mv/Cv,zsbMvM/dsmCv,zsbMvM,/,dsmCv,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen & Morison, 1982, Watson Lake, GSC Map 21-1981",,19153.029562122515927,17791504.171503655612469
10340,Gx/Mv,GxMv,gszFGrmpM//zsdMhvM-TE,gszFGrmpM,//,zsdMhvM,,,,,TE,,,,g,s,z,F,G,,M,r,m,p,,,z,s,d,M,,,M,h,v,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,E,,,,,,,,,,"Klassen & Morison, 1982, Watson Lake, GSC Map 21-1981",,27988.898090808739653,12356625.216302406042814
10341,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Klassen & Morison, 1982, Watson Lake, GSC Map 21-1981",,13904.715391997729967,9943473.162932261824608
10342,Cv/Mv,Cv/Mv,dsmCv/zsbMvM,dsmCv,/,zsbMvM,,,,,,,,,d,s,m,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,12586.078869661727367,4805416.028438373468816
10343,Cx,Cx,dszCvb.gFAf-Xs,dszCvb,.,gFAf,,,,,Xs,,,,d,s,z,C,,,,v,b,,,,g,,,F,A,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,s,,,,,,,,,,,3,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,4453.662561337774605,460830.802442783489823
10344,pO,pO,euOb-Xl,euOb,,,,,,,Xl,,,,e,u,,O,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,l,,,,,,,,,,Done: EXPRSN1_A = Null,4,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,3661.244480996048424,556454.092403659131378
10345,Mm.Lm,Mm.Lm,dsmMuL.zscLGuL-Xl,dsmMuL,.,zscLGuL,,,,,Xl,,,,d,s,m,M,,,L,u,,,,,z,s,c,L,G,,L,u,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,l,,,,,,,,,,,5,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,2628.738562150725556,506408.123439804534428
10346,fpO,fpO,ueOb-UXl,ueOb,,,,,,,UXl,,,,u,e,,O,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,X,,l,,,,,,,6,"Duk-Rodkin & Hughes, 1992, Trail River - Eagle River, GSC Map 1744A",,46077.780573791642382,8099201.003480032086372
