OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
6498,R1/R2,Rjak,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,25881.605170158225519,14466944.949632644653320
6499,Cf,Cf,dsmCf,dsmCf,,,,,,,,,,,d,s,m,C,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,1885.230297758283314,213008.342826491192682
6500,Mv/Cv\Rr,Mv.Cv\Rr,msdMvM.dsmCv\Rr,msdMvM,.,dsmCv,\,Rr,,,,,,,m,s,d,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,7369.541273081508734,2044069.323392500402406
6501,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,7,"Jackson, 1982, Nahanni, GSC Open File 886",,759.086185590642117,32455.228746510034398
6502,Cv/Mv\R1/R2,Cv.Mv\Rjak,dsmCv.msdMvM\R,dsmCv,.,msdMvM,\,R,,,,,,,d,s,m,C,,,,v,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,11554.871349249557170,6357557.177883643656969
6503,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,1361.444941123468197,126003.515659444936318
6504,Cv\R2/Rs,Cv\Raks,dsmCv\R,dsmCv,\,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,14790.876811463733247,4663996.538558725267649
6505,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,957.745113288742459,63440.621190131627372
6506,Ap,Ap,gszFp,gszFp,,,,,,,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,9625.156665281292589,767640.313666577567346
6507,Ca[A,Ca-A,dsmCa-A,dsmCa,,,,,,,A,,,,d,s,m,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,30250.796881020538422,6216614.460878458805382
6508,Ap,Ap,gszFp,gszFp,,,,,,,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,5355.661942236688446,568420.890328163630329
6509,Cv\R2[A,Cv\Rak-A,dsmCv\R-A,dsmCv,\,R,,,,,A,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,17918.737533851781336,5404833.399459699168801
6510,Rs[A,Rs-A,R-A,R,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,20054.061210977721203,11004235.815552206709981
6511,Dh/Dr,Dhr,dsmUGhrM,dsmUGhrM,,,,,,,,,,,d,s,m,U,G,,M,h,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,change D to UG,7,"Jackson, 1982, Nahanni, GSC Open File 886",,17078.525041564160347,4418167.045803861692548
6512,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,913.099693222849965,58229.474468150619941
6513,Mv\R1,Mv\Rj,msdMvM\R,msdMvM,\,R,,,,,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,3106.001982224111543,470549.071417537634261
6514,Ca[A,Ca-A,dsmCa-A,dsmCa,,,,,,,A,,,,d,s,m,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,6083.273642538726563,806032.597884850692935
6515,Mb/Mm,Mbu,msdMbuM,msdMbuM,,,,,,,,,,,m,s,d,M,,,M,b,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,28033.169675215187453,13827303.792426459491253
6516,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,1358.532904679380863,121384.618490769134951
6517,Mv/Cv\R1/R2,Mv.Cv\Rjak,msdMvM.dsmCv\R,msdMvM,.,dsmCv,\,R,,,,,,,m,s,d,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,14993.020495099821346,6901892.367836151272058
6518,Rr,Rr,Rr,Rr,,,,,,,,,,,,,,R,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,7270.985261675989022,1916632.436776992399246
6519,CL,CL,C-L,C,,,,,,,L,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,7,"Jackson, 1982, Nahanni, GSC Open File 886",,1459.694625569422669,91281.950322842953028
6520,Gr,Gr,gsFGrM,gsFGrM,,,,,,,,,,,g,s,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,3708.300505358535247,673683.142880229745060
6521,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,2485.460752501148818,397851.895602273521945
6522,Cf,Cf,dsmCf,dsmCf,,,,,,,,,,,d,s,m,C,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,1874.370426263576519,225798.862299859145423
6523,CL,CL,C-L,C,,,,,,,L,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,1761.360523024244458,187588.345099973870674
6524,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,735.267634610320783,32344.864292027476040
6525,Mv/Cv\R2[A,Mv.Cv\Rak-A,msdMvM.dsmCv\R-A,msdMvM,.,dsmCv,\,R,,,A,,,,m,s,d,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,23188.334616477146483,10893096.217886058613658
6526,Ov\Mb\R1/Dh,Ov\Mb\Rj.Dh,euOv\msdMbM\R.dsmUGhM,euOv,\,msdMbM,\,R,.,dsmUGhM,,,,,e,u,,O,,,,v,,,,,m,s,d,M,,,M,b,,,,,,,,R,,,,,,,,,d,s,m,U,G,,M,h,,,,,,,,,,,,,,,change D to UG,3,"Jackson, 1982, Nahanni, GSC Open File 886",,12312.607270692074962,4937905.066391546279192
6527,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,2859.964866758956305,427333.521369856200181
6528,Ap,Ap,gszFp,gszFp,,,,,,,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,20441.943651521556603,1648253.916759831830859
6529,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,1070.813291686979937,81671.540034062491031
6530,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,761.689239586560689,39040.261117956404632
6531,Gt,Gt,gsFGtM,gsFGtM,,,,,,,,,,,g,s,,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,3740.812801877818401,480598.822705844009761
6532,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,1024.837656352582826,78162.965234008152038
6533,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,2453.740894229023525,255345.510726375068771
6534,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,770.492050099535959,39234.504958689132764
6535,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,7,"Jackson, 1982, Nahanni, GSC Open File 886",,1308.912961436088381,107356.790223382151453
6536,Mh,Mh,msdMhM,msdMhM,,,,,,,,,,,m,s,d,M,,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,3338.319666731482357,243215.301747996127233
6537,R1/R2,Rjak,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,1844.023928173390232,172147.318652037385618
6538,rCa,rCa,rCa,rCa,,,,,,,,,,,r,,,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,1334.884564954605594,131469.946390745899407
6539,Ap,Ap,gszFp,gszFp,,,,,,,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,2426.455445386538486,178878.911616207333282
6540,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,1401.453217894638556,116013.198715890539461
6541,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,1181.184678086284976,84818.577851127120084
6542,bCa,bCa,bCa,bCa,,,,,,,,,,,b,,,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,5951.717452064471217,532684.824590612668544
6543,Cv/Mv\R2,Cv.Mv\Rak,dsmCv.msdMvM\R,dsmCv,.,msdMvM,\,R,,,,,,,d,s,m,C,,,,v,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,42047.623072438531381,14784540.790164759382606
6544,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,852.514440397304952,37720.035919354799262
6545,Ca/Cv[A,Cav-A,dsmCav-A,dsmCav,,,,,,,A,,,,d,s,m,C,,,,a,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,7,"Jackson, 1982, Nahanni, GSC Open File 886",,4285.170301936333999,538883.874147800030187
6546,Ap,Ap,gszFp,gszFp,,,,,,,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,3707.852966757537615,359673.399203146516811
6547,R2,Rak,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,4033.366028025469404,691465.677861741976812
6548,C-ZFg,Rg,Cm-ZFg,Cm,,,,,,,ZFg,,,,,,,C,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,F,,g,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,1592.991301316488034,146239.617034451483050
6549,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,2148.952970020160137,320427.745370982505847
6550,O,O,euO,euO,,,,,,,,,,,e,u,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,1155.098252807681547,80129.075363906827988
6551,R2,Rak,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,4760.613910730670796,912248.235480009810999
6552,Cv/Mv\R1,Cv.Mv\Rj,dsmCv.msdMvM\R,dsmCv,.,msdMvM,\,R,,,,,,,d,s,m,C,,,,v,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,8139.463262120505533,1554474.101904236944392
6553,Mv/Cv\R1/R2,Mv.Cv\Rjak,msdMvM.dsmCv\R,msdMvM,.,dsmCv,\,R,,,,,,,m,s,d,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,14571.333242639871969,4440463.401951172389090
6554,bCa[A,bCa-A,bCa-A,bCa,,,,,,,A,,,,b,,,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,6270.955243488657288,748969.897754676174372
6555,Mv//Gt\R1,Mv//Gt\Rj,msdMvM//gsFGtM\R,msdMvM,//,gsFGtM,\,R,,,,,,,m,s,d,M,,,M,v,,,,,g,s,,F,G,,M,t,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Jackson, 1982, Nahanni, GSC Open File 886",,17098.142361646354402,6565868.250931479968131
6556,Ca[A,Ca-A,dsmCa-A,dsmCa,,,,,,,A,,,,d,s,m,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,23855.913178773193067,5345072.600085539743304
6557,Cv/Mv\R2,Cv.Mv\Rak,dsmCv.msdMvM\R,dsmCv,.,msdMvM,\,R,,,,,,,d,s,m,C,,,,v,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,10353.662791515929712,2001607.584688600851223
6558,Cv\R2,Cv\Rak,dsmCv\R,dsmCv,\,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,5693.261959403791479,1817419.374793146969751
6559,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,1298.384748779722031,97764.251893989305245
6560,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,1208.801122833204317,92218.109803446030128
6561,Mv\R2/Ca,Mv\Rak.Ca,msdMvM\R.dsmCa,msdMvM,\,R,.,dsmCa,,,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,d,s,m,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,5034.923800000354277,680590.937601618934423
6562,O,O,euO,euO,,,,,,,,,,,e,u,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,3764.165207876540080,856378.934577838983387
6563,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,1291.270316834102914,94456.691309283793089
6564,Ap,Ap,gszFp,gszFp,,,,,,,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Jackson, 1982, Nahanni, GSC Open File 886",,5700.459845423230036,454841.144819702836685
6565,unclassified,Ca-A,dsmCa-A,dsmCa,,,,,,,A,,,,d,s,m,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,11540.752153327352062,1276386.762790903681889
6566,Gt,Gt,gsFGtM,gsFGtM,,,,,,,,,,,g,s,,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,5395.558503690314865,384319.376503800274804
6567,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,1080.914782647209222,73411.718019087144057
6568,I,I,IN,IN,,,,,,,,,,,,,,I,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,1361.302640230788484,124615.473514319630340
6569,bCa,bCa,bCa,bCa,,,,,,,,,,,b,,,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,6469.306923200824713,996259.911046004504897
6570,Rs/Rr,Rsr,Rr,Rr,,,,,,,,,,,,,,R,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,13367.661315560369985,7807077.293140072375536
6571,Gr,Gr,gsFGrM,gsFGrM,,,,,,,,,,,g,s,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,10192.950422515914397,1769745.939151441911235
6572,bCv,bCv,bCv,bCv,,,,,,,,,,,b,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,8029.833527542425145,2568085.551495797932148
6573,R2,Rak,R,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,4767.344671365101931,846624.919065013644286
6574,Dh,Dh,dsmUGhM,dsmUGhM,,,,,,,,,,,d,s,m,U,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,change D to UG,7,"Jackson, 1982, Nahanni, GSC Open File 886",,16629.771343595803046,6336242.219310501590371
6575,R2/Rs[A,Raks-A,R-A,R,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,8,"Jackson, 1982, Nahanni, GSC Open File 886",,50575.685420873538533,47134408.280655510723591
6576,Gt,Gt,gsFGtM,gsFGtM,,,,,,,,,,,g,s,,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,"Jackson, 1982, Nahanni, GSC Open File 886",,1289.325123395124592,85325.528014772658935
6577,Dn//Dr,Dnr,dsmUGmrM,dsmUGmrM,,,,,,,,,,,d,s,m,U,G,,M,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,change D to UG,-1,"Jackson, 1982, Nahanni, GSC Open File 886",,11926.013731891529460,5368734.684821927919984
6578,Cv/Mv\Rr,Cv.Mv\Rr,dsmCv.msdMvM\Rr,dsmCv,.,msdMvM,\,Rr,,,,,,,d,s,m,C,,,,v,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,8769.976240477935789,2754608.573824555613101
6579,Rs[A,Rs-A,R-A,R,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,1,"Jackson, 1982, Nahanni, GSC Open File 886",,7180.286889382659865,2224602.919834366999567
6580,R2/Rs[A,Raks-A,R-A,R,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,53137.966118976371945,26181915.010478377342224
6581,Cv/Mv\R1,Cv.Mv\Rj,dsmCv.msdMvM\R,dsmCv,.,msdMvM,\,R,,,,,,,d,s,m,C,,,,v,,,,,m,s,d,M,,,M,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,20734.141981809701974,6832921.972072614356875
6582,bCa[A,bCa-A,bCa-A,bCa,,,,,,,A,,,,b,,,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,2,"Jackson, 1982, Nahanni, GSC Open File 886",,4324.118832812389883,501625.357958406384569
6583,Ca[A,Ca-A,dsmCa-A,dsmCa,,,,,,,A,,,,d,s,m,C,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,3,"Jackson, 1982, Nahanni, GSC Open File 886",,11259.700174477906330,1430868.524210508214310
6584,Ca/Mb,Ca.Mb,dsmCa.msdMbM,dsmCa,.,msdMbM,,,,,,,,,d,s,m,C,,,,a,,,,,m,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Jackson, 1982, Nahanni, GSC Open File 886",,24320.674749568104744,5217893.465911949053407
6585,R2[A,Rak-A,R-A,R,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,5,"Jackson, 1982, Nahanni, GSC Open File 886",,14816.912446090116646,5192121.286209923215210
6586,Cv\R2,Cv\Rak,dsmCv\R,dsmCv,\,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Jackson, 1982, Nahanni, GSC Open File 886",,35269.999429204581247,12569672.687677858397365
