OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,HAZ_RANK,POLY_NUM,SHAPE_Length,SHAPE_Area
900,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw,\,gszFp,,,,,Ib,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,e,,,O,,,,w,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,b,,,,,,,,,,3,4,"Kennedy, 2011, Mayo, YGS Open File 2011-3",F,3,4,2730.629646811973544,200965.812227469607024
901,uOw\gszFp-Ib,uOw\gszFp-Ib,uOw\gszFp-Ib,uOw,\,gszFp,,,,,Ib,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,u,,,O,,,,w,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,b,,,,,,,,,,3,5,"Kennedy, 2011, Mayo, YGS Open File 2011-3",F,3,5,5208.075698993891820,302184.830068523355294
902,gszFAp,gszFAp-U,gszFAp-U,gszFAp,,,,,,,U,"Hazard Rank: 3; Landscape Hazards: flooding (Stewart River, Mayo River), permafrost",,,g,s,z,F,A,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,3,6,"Kennedy, 2011, Mayo, YGS Open File 2011-3",FA,3,6,1040.733431791702742,55991.470698552016984
903,gszFp,gszFp,gszFp,gszFp,,,,,,,,"Hazard Rank: 2; Landscape Hazards: flooding (Mayo River), permafrost",,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,"Kennedy, 2011, Mayo, YGS Open File 2011-3",F,2,7,980.857087651231723,46250.470168926731276
904,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw,\,gszFp,,,,,Ib,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,e,,,O,,,,w,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,b,,,,,,,,,,3,8,"Kennedy, 2011, Mayo, YGS Open File 2011-3",F,3,8,2092.241861032138786,84184.463113433477702
905,gszCba,gszCba,gszCba,gszCba,,,,,,,,Hazard Rank: 3; Landscape Hazards: mass movement (steep slope),,,g,s,z,C,,,,b,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,"Kennedy, 2011, Mayo, YGS Open File 2011-3",C,3,9,12227.929727215687308,457789.982954635517672
906,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw,\,gszFp,,,,,Ib,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,e,,,O,,,,w,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,b,,,,,,,,,,3,10,"Kennedy, 2011, Mayo, YGS Open File 2011-3",F,3,10,1696.066474599509775,116335.681380553331110
907,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw\gszFp-Ib,eOw,\,gszFp,,,,,Ib,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,e,,,O,,,,w,,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,b,,,,,,,,,,3,11,"Kennedy, 2011, Mayo, YGS Open File 2011-3",F,3,11,2570.417038378843245,156814.793846445070812
908,uOp\szFp,uOp\szFp,uOp\szFp,uOp,\,szFp,,,,,,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost",,,u,,,O,,,,p,,,,,s,z,,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,"Kennedy, 2011, Mayo, YGS Open File 2011-3",O,3,12,1592.967112810950539,75616.404999971666257
909,uOp\zscFp-X,uOp\zscFp-X,uOp\zscFp-X,uOp,\,zscFp,,,,,X,"Hazard Rank: 3; Landscape Hazards: flooding (Mayo River), permafrost, shallow groundwater table",,,u,,,O,,,,p,,,,,z,s,c,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,3,13,"Kennedy, 2011, Mayo, YGS Open File 2011-3",O,3,13,3275.644799357980901,337826.352084458572790
910,zsEw\gsFGp/Mh,zsEw\gsFGp/Mh,zsEw\gsFGpM/MhM,zsEw,\,gsFGpM,/,MhM,,,,Hazard Rank: 1; Landscape Hazards: permafrost,,,z,s,,E,,,,w,,,,,g,s,,F,G,,M,p,,,,,,,,M,,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,"Kennedy, 2011, Mayo, YGS Open File 2011-3",FG,1,14,5089.997012369103686,1174883.337154522538185
911,szEv\pksFGtl,szEv\pksFGtl,szEv\pksFGtlM,szEv,\,pksFGtlM,,,,,,Hazard Rank: 1; Landscape Hazards: permafrost,,,s,z,,E,,,,v,,,,,p,k,s,F,G,,M,t,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,"Kennedy, 2011, Mayo, YGS Open File 2011-3",FG,1,15,6286.340847962075713,2540130.510042497888207
912,zsEv\pskFGpl,zsEv\pskFGpl,zsEv\pskFGplM,zsEv,\,pskFGplM,,,,,,Hazard Rank: 1; Landscape Hazards: permafrost,,,z,s,,E,,,,v,,,,,p,s,k,F,G,,M,p,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,"Kennedy, 2011, Mayo, YGS Open File 2011-3",FG,1,16,8350.705817520127312,898759.677811221452430
